instance_name,best_distance,avg_distance,std_distance,worst_distance,n_routes,avg_time,feasible
M-Central25_1,776.1951038186411,777.9720658404892,3.5539240436962474,785.0799139278818,5,32.667395973205565,True
M-Central25_2,938.8910620126626,951.2957524738289,24.809380922332732,1000.9145143184944,5,34.2446946144104,True
M-Central25_3,824.4833886006527,824.4833886006527,0.0,824.4833886006527,5,1.0930230140686035,True
M-Central25_4,755.6741644737149,756.5652164388906,1.7821039303516046,760.1294242995939,5,74.62559838294983,True
M-Central25_5,815.6971633389367,815.6971633389367,1.6077746776921858e-13,815.6971633389369,5,23.635668992996216,True
M-Central25_6,854.5573153846949,857.6695787327402,3.8050575546044607,862.3297977203788,5,27.462227296829223,True
M-Central25_7,820.5660212998979,829.006289140025,8.804137059982628,841.8527381278761,5,62.455857849121095,True
M-Central25_8,917.1901632432654,917.1901632432653,1.1368683772161603e-13,917.1901632432654,5,17.794216871261597,True
M-Central25_9,737.7654192443374,743.5923066082015,11.653774727728251,766.899856063658,5,24.978224086761475,True
M-Central25_10,811.3465416985113,824.1124468548157,9.40347753036886,831.9964107078135,5,50.19010806083679,True
