instance,bks,grasp,mets,our_best,our_avg,our_std,our_worst,gap_bks_pct,gap_mets_pct,feasible_count,n_runs,n_routes,time_s
S-Central_1,953.94,953.94,953.94,954.0916632728016,1055.6548172348723,73.604075307781,1126.1856770086522,0.01589861760714055,0.01589861760714055,3,3,5,30.2
S-Central_2,948.69,959.88,959.88,,,,,,,0,3,,30.3
S-Central_3,943.12,958.94,958.94,,,,,,,0,3,,30.1
S-Central_4,947.98,1098.49,947.98,,,,,,,0,3,,30.1
S-Central_5,714.55,714.55,714.55,714.6329509898098,811.8421325706125,68.94315514690933,866.9674000673924,0.011608843301362772,0.011608843301362772,3,3,4,30.1
S-Central_6,844.43,845.53,844.43,844.5262291857109,848.7739791712744,3.6983096544171987,853.5405244982148,0.01139575639318447,0.01139575639318447,3,3,5,30.1
S-Central_7,862.68,867.78,862.68,867.8880127146231,872.6515851394346,3.36835436425736,875.0333713518402,0.6037015712225998,0.6037015712225998,3,3,5,30.0
S-Central_8,712.83,712.83,712.83,712.9329223848501,715.2417858423719,1.7042862405485495,716.9951746108904,0.014438559663608895,0.014438559663608895,3,3,4,30.0
S-Central_9,855.43,855.43,855.43,866.9707369207794,868.7651773252369,1.2688609784270253,869.6623975274656,1.3491152894777374,1.3491152894777374,3,3,5,30.0
S-Central_10,901.19,905.59,905.59,910.3142591699806,917.3830957008755,6.947181974495691,926.8267159983025,1.0124678669293399,0.5216774887068697,3,3,5,30.1
