instance_name,best_distance,avg_distance,std_distance,worst_distance,n_routes,avg_time,feasible
S-Central_1,775.1159836394372,775.1159836394372,0.0,775.1159836394372,4,4.074758291244507,True
S-Central_2,706.6128780638737,706.6128780638737,0.0,706.6128780638737,4,0.09773726463317871,True
S-Central_3,735.3045353083692,735.3045353083692,0.0,735.3045353083692,4,0.0,True
S-Central_4,773.1289330196563,773.1289330196563,7.190186943645084e-14,773.1289330196564,4,4.9558024406433105,True
S-Central_5,761.5985284001555,761.5985284001555,0.0,761.5985284001555,4,1.689959716796875,True
S-Central_6,786.2434861418423,786.7516166064288,0.6223301805002218,787.5138123033087,4,38.69642939567566,True
S-Central_7,770.3750546460401,770.3750546460401,0.0,770.3750546460401,4,1.0346601963043214,True
S-Central_8,911.5024236321411,911.5024236321411,0.0,911.5024236321411,5,0.0,True
S-Central_9,733.1393603614335,733.1393603614335,0.0,733.1393603614335,4,0.0,True
S-Central_10,704.0505781962507,704.0505781962507,0.0,704.0505781962507,4,29.184681844711303,True
